Unnamed: 0,Cena,Kompozice bytu,Rozměry bytu,Lokace,Čistá cena
33,12 000 Kč/měsíc,30,1+kk,"Podlesí II, Zlín",12000
35,18 500 Kč/měsíc,56,2+kk,"Na Honech II, Zlín",18500
36,12 800 Kč/měsíc,55,2+kk,"L. Váchy, Zlín",12800
37,12 000 Kč/měsíc,50,2+kk,"L. Váchy, Zlín",12000
40,17 500 Kč/měsíc,60,2+kk,"nám. 3. května, Otrokovice",17500
41,10 000 Kč/měsíc,45,1+1,Otrokovice - Kvítkovice,10000
42,22 000 Kč/měsíc,85,2+kk,Luhačovice,22000
43,16 500 Kč/měsíc,58,2+1,"L. Váchy, Zlín - Prštné",16500
44,13 000 Kč/měsíc,66,3+kk,"Masarykovo náměstí, Napajedla",13000
45,9 000 Kč/měsíc,36,1+1,"Dlouhá, Zlín",9000
46,11 500 Kč/měsíc,36,1+1,"Potoky, Zlín",11500
47,9 600 Kč/měsíc,38,1+1,"Nádražní, Otrokovice",9600
48,7 500 Kč/měsíc,19,atypický,"L. Váchy, Zlín - Prštné",7500
49,10 500 Kč/měsíc,21,pokoje,"tř. Spojenců, Otrokovice",10500
50,12 000 Kč/měsíc,48,2+1,"třída Svobody, Zlín - Malenovice",12000
51,12 900 Kč/měsíc,44,2+kk,"Zadní luhy, Zlín - Louky",12900
52,19 000 Kč/měsíc,110,3+kk,"Dlouhá, Zlín",19000
53,13 500 Kč/měsíc,40,1+kk,"Sadová, Zlín",13500
54,17 900 Kč/měsíc,50,2+kk,"Pasecká, Zlín",17900
55,17 200 Kč/měsíc,48,2+kk,"Pasecká, Zlín",17200
56,4 300 Kč/měsíc,18,pokoje,"Pančava, Zlín - Příluky",4300
57,9 900 Kč/měsíc,22,1+kk,"Pančava, Zlín - Příluky",9900
58,8 500 Kč/měsíc,21,pokoje,"tř. Spojenců, Otrokovice",8500
